name,benefits
"Guard","Ability Score Increases: +1 to Strength and one other ability score. | Adventures and Advancement: When you visit the city or countryside you once patrolled you’re sure to get
embroiled in the same politics that drove you out. Should you stick around
righting wrongs, you might accidentally find yourself in a position of
responsibility. | Connection and Memento: Roll 1d10, choose, or make up your own.


GUARD CONNECTIONS

 1.  The corrupt guard captain who framed you.
 2.  The by-the-book guard captain who found you in violation of a regulation.
 3.  The mighty guard captain who taught you all you know.
 4.  The informant who tipped you off about criminal activity.
 5.  The noble or merchant you protected.
 6.  The comrade or superior officer you admired.
 7.  The villain who kidnapped the person you were charged to protect.
 8.  Your betrayer, the one person you didn’t think to mistrust.
 9.  The noble or merchant who had everyone in their pocket.
 10. The diviner wizard who could usually provide you with the missing piece of
     a puzzle.


GUARD MEMENTOS

 1.  Your badge of office, a symbol of an ideal few could live up to.
 2.  Your badge of office, a symbol of a corrupt system you could no longer
     stomach.
 3.  The arrow-damaged prayer book or playing card deck that saved your life.
 4.  The whiskey flask that stood you in good stead on many cold patrols.
 5.  Notes about a series of disappearances you would have liked to put a stop
     to.
 6.  A broken sword, torn insignia, or other symbol of your disgrace and
     banishment.
 7.  A tattoo or insignia marking you as part of an organization of which you
     are the last member.
 8.  The fellow guard’s last words which you will never forget.
 9.  A letter you were asked to deliver.
 10. A bloodstained duty roster. | Equipment: Common clothes, halberd, uniform. | Languages: One of your choice. | Natural Authority: Commoners and civilians sometimes assume you are part of a local constabulary
force and defer to you. | Skill Proficiencies: Intimidation, and either Athletics or Investigation."
"Guildmember","Ability Score Increases: +1 to Constitution and one other ability score. | Adventures And Advancement: Once you have completed several quests or endeavors advancing guild business,
you may be promoted to guild officer. You gain access to more lucrative
contracts. In addition, the guild supports you at a moderate lifestyle without
you having to work. | Connection and Memento: Roll 1d10, choose, or make up your own.


GUILDMEMBER CONNECTIONS

 1.  Your guild master who occasionally has secret missions for groups which can
     keep their mouths shut.
 2.  Members of a rival guild who might or might not stoop to violence.
 3.  The master who, recognizing your talent, risked all to teach you dangerous
     guild secrets.
 4.  The agent of a rival guild who is trying to steal secrets.
 5.  The jealous teacher who took credit for your work and got you expelled from
     the guild.
 6.  The guild quartermaster who stocks goods of dubious legality.
 7.  The friendly guild officer who always saves you the most interesting
     assignments.
 8.  The rivals who always compete for the same guild jobs.
 9.  The noble who owes you big.
 10. Your guild master’s ambitious second-in-command who is recruiting allies
     for a coup.


GUILDMEMBER MEMENTOS

 1.  Artisans Guild: An incomplete masterpiece which your mentor never finished.
 2.  Entertainers Guild: An incomplete masterpiece which your mentor never
     finished.
 3.  Explorers Guild: A roll of incomplete maps each with a reward for
     completion.
 4.  Laborers Guild: A badge entitling you to a free round of drinks at most
     inns and taverns.
 5.  Adventurers Guild: A request from a circus to obtain live exotic animals.
 6.  Bounty Hunters Guild: A set of manacles and a bounty on a fugitive who has
     already eluded you once.
 7.  Mages Guild: The name of a wizard who has created a rare version of a spell
     that the guild covets.
 8.  Monster Hunters Guild: A bounty, with no time limit, on a monster far
     beyond your capability.
 9.  Archaeologists Guild: A map marking the entrance of a distant dungeon.
 10. Thieves Guild: Blueprints of a bank, casino, mint, or other rich locale. | Equipment: One set of artisan's tools or one instrument, traveler's clothes, guild badge. | Guild Business: While in a city or town, you can maintain a moderate lifestyle by plying your
trade. Furthermore, the guild occasionally informs you of jobs that need doing.
Completing such a job might require performing a downtime activity, or it might
require a full adventure. The guild provides a modest reward if you're
successful. | Skill Proficiencies: Two of your choice. | Tool Proficiencies: Either one type of artisan’s tools, musical instrument, or vehicle."
"Hermit","Ability Score Increases: +1 to Wisdom and one other ability score. | Adventures And Advancement: Your inner voice may occasionally prompt you to accept certain adventure
opportunities or to avoid certain actions. You are free to obey or disobey this
voice. Eventually however it may lead you to a special revelation, adventure, or
treasure. | Connection and Memento: Roll 1d10, choose, or make up your own.


HERMIT CONNECTIONS

 1.  The high priest who banished you to the wilderness until you repent your
     heresy.
 2.  The inquisitor who hunts you even through the most solitary wildlands.
 3.  The supernatural patron whose temptations and gifts you seek to reject.
 4.  The inner voice you only hear in solitude.
 5.  The mentor who trained you in silent contemplation—until they mysteriously
     turned their back on their own teachings.
 6.  The villain who destroyed the shreds of your original, worldly life.
 7.  The noble relatives who seek to return you to the life you rejected.
 8.  The religious superior whose blasphemies scandalized you into fleeing your
     religious order.
 9.  The angel who delivered you a prophecy.
 10. The mysterious person you glimpsed several times from a distance—unless it
     was a hallucination.


HERMIT MEMENTOS

 1.  The (possibly unhinged) manifesto, encyclopedia, or theoretical work that
     you spent so much time on.
 2.  The faded set of fine clothes you preserved for so many years.
 3.  The signet ring bearing the family crest that you were ashamed of for so
     long.
 4.  The book of forbidden secrets that led you to your isolated refuge.
 5.  The beetle, mouse, or other small creature which was your only companion
     for so long.
 6.  The seemingly nonmagical item that your inner voice says is important.
 7.  The magic-defying clay tablets you spent years translating.
 8.  The holy relic you were duty bound to protect.
 9.  The meteor metal you found in a crater the day you first heard your inner
     voice.
 10. Your ridiculous-looking sun hat. | Equipment: Healer's satchel, herbalism kit, common clothes, 7 days rations, and a prayer
book, prayer wheel, or prayer beads. | Inner Voice: You occasionally hear a voice—perhaps your conscience, perhaps a higher
power—which you have come to trust. It told you to go into seclusion, and then
it advised you when to rejoin the world. You think it is leading you to your
destiny (consult with your Narrator about this feature.) | Skill Proficiencies: Religion, and either Medicine or Survival. | Tool Proficiencies: Herbalism kit."
"Marauder","Ability Score Increases: +1 to Dexterity and one other ability score. | Adventures And Advancement: Allies and informants occasionally give you tips about the whereabouts of
poorly-guarded loot. After a few such scores, you may gain the free service of
up to 8 | Connection and Memento: Roll 1d10, choose, or make up your own.


MARAUDER CONNECTIONS

 1.  Your nemesis: a naval captain or captain of the guard who thwarted you on
     several occasions.
 2.  Your mentor: a charismatic pirate captain.
 3.  The stylish highway robber who taught you the trade.
 4.  The local noble who pursues you obsessively.
 5.  The three outlaws who hold the other three pieces of your treasure map.
 6.  The marauder chief who betrayed you and the rest of the gang in exchange
     for freedom.
 7.  The child you became an outlaw to protect.
 8.  The cleric who converted you to a life of law and faith.
 9.  The scholarly old bandit whose inventions gave you an edge against the
     pursuing authorities.
 10. Your best friend—who is serving a life sentence for your shared crime.


MARAUDER MEMENTOS

 1.  The eerie mask by which your victims know you.
 2.  The one item that you wish you hadn't stolen.
 3.  A signet ring marking you as heir to a seized estate.
 4.  A locket containing a picture of the one who betrayed you.
 5.  A broken compass.
 6.  A love token from the young heir to a fortune.
 7.  Half of a torn officer's insignia.
 8.  The hunter's horn which members of your band use to call allies.
 9.  A wanted poster bearing your face.
 10. Your unfinished thesis from your previous life as an honest scholar. | Equipment: Traveler's clothes, signal whistle, tent (one person). | Secret Ways: When you navigate while traveling, pursuers have disadvantage on checks made to
track your group. Additionally, you can travel stealthily at a normal pace. | Skill Proficiencies: Survival, and either Intimidation or Stealth. | Tool Proficiencies: One type of artisan’s tools or vehicle."
"Noble","Ability Score Increases: +1 to Strength and one other ability score. | Adventures and Advancement: Your family may ask you for one or two little favors: convince this relative to
marry a family-approved spouse, slay that family foe in a duel, serve under a
liege lord in a battle. If you advance your family’s fortunes, you may earn a
knighthood along with the free service of a retinue of servants and up to 8
guards. | Connection and Memento: Roll 1d10, choose, or make up your own.


NOBLE CONNECTIONS

 1.  Your perfect elder sibling to whom you never seem to measure up.
 2.  The treacherous noble who slaughtered or scattered your family and is now
     living in your ancestral home.
 3.  Your family servant, a retired adventurer who taught you more about battle
     than any fancy dueling master.
 4.  The foppish friend you carouse with.
 5.  The common-born sweetheart that your family forbid you from seeing again.
 6.  The fugitive head of your family whose rebellion caused your family’s lands
     to be seized and titles to be redistributed.
 7.  Your foe, the heir of a rival house, with whom you have dueled twice.
 8.  The crime boss to whom your family is in massive debt.
 9.  The scion of an allied family to whom you were betrothed from birth.
 10. The eccentric knight for whom you trained as a squire or page.


NOBLE MEMENTOS

 1.  A shield or tabard bearing your coat of arms.
 2.  A keepsake or love letter from a high-born sweetheart.
 3.  An heirloom weapon—though it’s not magical, it has a name and was used for
     mighty deeds.
 4.  A letter of recommendation to a royal court.
 5.  Perfumed handkerchiefs suitable for blocking the smell of commoners.
 6.  An extremely fashionable and excessively large hat.
 7.  A visible scar earned in battle or in a duel.
 8.  A set of common clothes and a secret commoner identity.
 9.  IOUs of dubious value that were earned in games of chance against other
     nobles.
 10. A letter from a friend begging for help. | Equipment: Fine clothes, signet ring, writ detailing your family tree. | High Society: You know of—or personally know—most of the noble families for hundreds of miles.
In most settled areas you (and possibly your companions, if well-behaved) can
find a noble host who will feed you, shelter you, and offer you a rich
lifestyle. | Languages: One of your choice. | Skill Proficiencies: Culture, History, and either Animal Handling or Persuasion. | Tool Proficiencies: One gaming set."
"Outlander","Ability Score Increases: +1 to Constitution and one other ability score. | Adventures And Advancement: During your travels, wilderness dwellers may come to you for help battling
monsters and other dangers. If you succeed in several such adventures, you may
earn the freely given aid of up to 8 warriors. | Connection and Memento: Roll 1d10, choose, or make up your own.


OUTLANDER CONNECTIONS

 1.  A tribal chief who owes a favor.
 2.  The chief of a band of marauders who has a grudge against you.
 3.  A hag to whom you owe a favor.
 4.  An alchemist or wizard who frequently gives you requests for rare herbs or
     trophies.
 5.  A unicorn you’ve glimpsed but never been able to approach.
 6.  Another outlander: your former best friend who is now a bitter rival.
 7.  A wise oracle who knows most of what happens in the wilderness and will
     reveal it for a price.
 8.  A zany prospector who knows the wild lands almost as well as you.
 9.  A circus or arena owner who will pay for live animals not yet in their
     menagerie.
 10. A highly civilized poet or painter who has paid you to guide them to wild
     and inspiring locales.


OUTLANDER MEMENTOS

 1.  A trophy from the hunt of a mighty beast, such as an phase monster-horn
     helmet.
 2.  A trophy from a battle against a fierce monster, such as a still-wriggling
     troll finger.
 3.  A stone from a holy druidic shrine.
 4.  Tools appropriate to your home terrain, such as pitons or snowshoes.
 5.  Hand-crafted leather armor, hide armor, or clothing.
 6.  The handaxe you made yourself.
 7.  A gift from a dryad or faun.
 8.  Trading goods worth 30 gold, such as furs or rare herbs.
 9.  A tiny whistle given to you by a sprite.
 10. An incomplete map. | Equipment: Traveler's clothes, waterskin, healer's kit, 7 days rations. | Skill Proficiencies: Survival, and either Athletics or Intimidation. | Trader: If you're in or near the wilderness and have a trading relationship with a
tribe, settlement, or other nearby group, you can maintain a moderate lifestyle
for yourself and your companions by trading the products of your hunting and
gathering."
"Sage","Ability Score Increases: +1 to Intelligence and one other ability score. | Adventures And Advancement: When you visit libraries and universities you tend to be asked for help in your
role as a comparatively rough-and-tumble adventurer. After fetching a few bits
of esoteric knowledge and settling a few academic disputes, you may be granted
access to the restricted areas of the library (which contain darker secrets and
deeper mysteries, such as those answerable with a DC 25 Arcana, Culture,
Engineering, History, Nature, or Religion check). | Connection and Memento: Roll 1d10, choose, or make up your own.


SAGE CONNECTIONS

 1.  Your rival who always seems to be one step ahead of you in the research
     race.
 2.  The college dean who banished you for conduct unbefitting a research
     fellow.
 3.  A former student of yours who has become a dangerous wizard.
 4.  The professor who took credit for your research.
 5.  The rival sage whose cruel nickname for you has made you a laughingstock.
 6.  The alchemist who will pay for bizarre monster trophies and other
     ingredients—no questions asked.
 7.  The peer with a competing cosmological theory that causes endless friendly
     bickering.
 8.  The noble who recognized your intelligence at a young age and sponsored
     your entrance into academia.
 9.  A talented apprentice who ran away after mastering magical power but not
     the theoretical foundation to control it.
 10. The invading general who burned the library that was once your home.


SAGE MEMENTOS

 1.  A letter from a colleague asking for research help.
 2.  Your incomplete manuscript.
 3.  An ancient scroll in a language that no magic can decipher.
 4.  A copy of your highly unorthodox theoretical work that got you in so much
     trouble.
 5.  A list of the forbidden books that may answer your equally forbidden
     question.
 6.  A formula for a legendary magic item for which you have no ingredients.
 7.  An ancient manuscript of a famous literary work believed to have been lost;
     only you believe that it is genuine.
 8.  Your mentor's incomplete bestiary, encyclopedia, or other work that you
     vowed to complete.
 9.  Your prize possession: a magic quill pen that takes dictation.
 10. The name of a book you need for your research that seems to be missing from
     every library you've visited. | Equipment: Bottle of ink, pen, 50 sheets of parchment, common clothes. | Library Privileges: As a fellow or friend of several universities you have visiting access to the
great libraries, most of which are off-limits to the general public. With enough
time spent in a library, you can uncover most of the answers you seek (any
question answerable with a DC 20 Arcana, Culture, Engineering, History, Nature,
or Religion check). | Skill Proficiencies: History, and either Arcana, Culture, Engineering, or Religion."
"Sailor","Ability Score Increases: +1 to Constitution and one other ability score. | Adventures And Advancement: You and your companions will be able to take passage for free on nearly any
commercial ship in exchange for occasional ship duties when all hands are
called. In addition, after you have a few naval exploits under your belt your
fame makes sailors eager to sail under you. You can hire a ship's crew at half
the usual price. | Connection and Memento: Roll 1d10, choose, or make up your own.


SAILOR MEMENTOS

 1.  A dagger with a handle carved from a dragon turtle's tooth.
 2.  A scroll tube filled with nautical charts.
 3.  A harpoon (treat as a javelin with its butt end fastened to a rope).
 4.  A scar with a famous tale behind it.
 5.  A treasure map.
 6.  A codebook which lets you decipher a certain faction's signal flags.
 7.  A necklace bearing a scale, shell, tooth, or other nautical trinket.
 8.  Several bottles of alcohol.
 9.  A tale of an eerie encounter with a strange monster, a ghost ship, or other
     mystery.
 10. A half-finished manuscript outlining an untested theory about how to rerig
     a ship to maximize speed.


SAILOR MEMENTOS

 1.  A dagger with a handle carved from a dragon turtle’s tooth.
 2.  A scroll tube filled with nautical charts.
 3.  A harpoon (treat as a javelin with its butt end fastened to a rope).
 4.  A scar with a famous tale behind it.
 5.  A treasure map.
 6.  A codebook which lets you decipher a certain faction’s signal flags.
 7.  A necklace bearing a scale, shell, tooth, or other nautical trinket.
 8.  Several bottles of alcohol.
 9.  A tale of an eerie encounter with a strange monster, a ghost ship, or other
     mystery.
 10. A half-finished manuscript outlining an untested theory about how to rerig
     a ship to maximize speed. | Equipment: Common clothes, navigator's tools, 50 feet of rope. | Sea Salt: Your nautical jargon and rolling gait mark you unmistakably as a mariner. You
can easily enter into shop talk with any sailors that are not hostile to you,
learning nautical gossip and ships' comings and goings. You also recognize most
large ships by sight and by name, and can make a History orCulturecheck to
recall their most recent captain and allegiance. | Skill Proficiencies: Athletics, and either Acrobatics or Perception. | Tool Proficiencies: Navigator’s tools, water vehicles."
"Soldier","Ability Score Increases: +1 to Strength and one other ability score. | Adventures and Advancement: You will occasionally run into old comrades, some of whom may need favors. If
you perform a few celebrated martial deeds your old military outfit (or a new
one) is likely to offer you an officer’s rank. You gain the free service of up
to 8 guards. Your new commanders will occasionally give you objectives: you will
be expected to act independently in order to achieve these objectives. | Connection and Memento: Roll 1d10, choose, or make up your own.


SOLDIER CONNECTIONS

 1.  Your old commanding officer who still wants you to rejoin.
 2.  The commander who callously sent your unit into a slaughter.
 3.  Your shady war buddy who can get their hands on anything with no questions
     asked.
 4.  Your best friend who went missing on the battlefield.
 5.  The comrade who saved your life at the risk of their own.
 6.  The ghost who haunts you.
 7.  The superior officer you punched (for abusing civilians? For insulting your
     honor? For preventing you from looting?)
 8.  The scary experimental war construct you accompanied on a dangerous
     mission.
 9.  The golden-armored knight with ridiculously good teeth who was always
     giving inspiring speeches.
 10. The enemy officer who captured you.


SOLDIER MEMENTOS

 1.  A broken horn, tooth, or other trophy salvaged from a monster’s corpse.
 2.  A trophy won in a battle (a tattered banner, a ceremonial sword, or
     similar).
 3.  A gaming set.
 4.  A letter from your sweetheart.
 5.  An old wound that twinges in bad weather.
 6.  A letter you’re supposed to deliver to a dead comrade’s family.
 7.  A horrifying memory you can’t escape.
 8.  A horned or plumed helmet.
 9.  The sword you broke over your knee rather than fight for those bastards
     another day.
 10. A medal for valor. | Languages: One of your choice. | Military Bearing: Soldiers recognize their own. Off duty soldiers are usually willing to trade
tales and gossip with you. On duty soldiers, while not obeying your orders, are
likely to answer your questions and treat you respectfully on the off chance
that you’re an unfamiliar officer who can get them in trouble. | Skill Proficiencies: Athletics, and either Animal Handling or Intimidation. | Suggested Equipment: Uniform, common clothes, 7 days rations. | Tool Proficiencies: One type of gaming set."
"Trader","Ability Score Increases: +1 to Charisma and one other ability score. | Adventures And Advancement: Because of your commercial contacts you may be offered money to lead or escort
trade caravans. You'll receive a fee from each trader that reaches their
destination safely. | Connection and Memento: Roll 1d10, choose, or make up your own.


TRADER CONNECTIONS

 1.  The parent or relative who wants you to carry on the family business.
 2.  The sibling who inherited the other half of the family business.
 3.  The trading company to which you are indentured until you pay off a debt.
 4.  The powerful merchant who will never forgive the business coup you pulled
     off.
 5.  The noble whose horse trampled your poor family’s vegetable stall, injuring
     or killing a relative you dearly loved.
 6.  The parent or elder sibling who squandered your family fortune.
 7.  The business partner who cheated you.
 8.  The customs agent who has sworn to catch you red-handed with illicit goods.
 9.  The crime boss to whom you wouldn’t pay protection money.
 10. The smuggler who will pay well for certain commodities.


TRADER MEMENTOS

 1.  The first gold piece you earned.
 2.  Thousands of shares in a failed venture.
 3.  A letter of introduction to a rich merchant in a distant city.
 4.  A sample of an improved version of a common tool.
 5.  Scars from a wound sustained when you tried to collect a debt from a
     vicious noble.
 6.  A love letter from the heir of a rival trading family.
 7.  A signet ring bearing your family crest, which is famous in the mercantile
     world.
 8.  A contract binding you to a particular trading company for the next few
     years.
 9.  A letter from a friend imploring you to invest in an opportunity that can't
     miss.
 10. A trusted family member's travel journals that mix useful geographical
     knowledge with tall tales. | Equipment: Traveler's clothes, abacus, merchant's scale. | Skill Proficiencies: Persuasion, and either Culture, Deception, or Insight. | Supply and Demand: When you buy a trade good and sell it elsewhere to a community in need of that
good, you gain a 10% bonus to its sale price for every 100 miles between the buy
and sell location (maximum of 50%). | Tool Proficiencies: One vehicle."
"Urchin","Ability Score Increases: +1 to Dexterity and one other ability score. | Adventures And Advancement: Street kids are among a settlement's most vulnerable people, especially in
cities with lycanthropes, vampires, and other supernatural threats. After you
help out a few urchins in trouble, word gets out and you'll be able to consult
the street network to gather information. If you roll lower than a 15 on an
Investigation check to gather information in a city or town, your roll is
treated as a 15. | Connection and Memento: URCHIN CONNECTIONS

 1.  The disreputable thief who taught you thieving skills.
 2.  The saintly orphanage matron who’s so proud of how you’ve grown.
 3.  The miserly and cruel orphanage administrator who rounds up urchins and
     runaways.
 4.  The drunken thief who shared with you what little they could steal.
 5.  The fellow urchin who has some power to make “bad stuff” happen to their
     enemies.
 6.  The thieves’ guild contact who will pay well for small folk to wriggle
     through a window or chimney to unlock a front door.
 7.  The philanthropist (or charlatan?) who took you in, dressed you properly,
     and tried to teach you upper-class manners.
 8.  The spymaster or detective who sent you on investigation missions.
 9.  The noble whose horse trampled you or a friend.
 10. The rich family you ran away from.


URCHIN MEMENTOS

 1.  A locket containing pictures of your parents.
 2.  A set of (stolen?) fine clothes.
 3.  A small trained animal, such as a mouse, parrot, or monkey.
 4.  A map of the sewers.
 5.  The key or signet ring that was around your neck when you were discovered
     as a foundling.
 6.  A battered one-eyed doll.
 7.  A portfolio of papers given to you by a fleeing, wounded courier.
 8.  A gold tooth (not yours, and not in your mouth).
 9.  The flowers or trinkets that you sell.
 10. A dangerous secret overheard while at play. | Equipment: Common clothes, disguise kit. | Guttersnipe: When you're in a town or city, you can provide a poor lifestyle for yourself and
your companions. Also, you know how to get anywhere in town without being
spotted by gangs, gossips, or guard patrols. | Skill Proficiencies: Sleight of Hand, and either Deception or Stealth. | Tool Proficiencies: Disguise kit, thieves’ tools."
"Deep Hunter","Ability Score Increase: +1 to Wisdom and one other ability score. | Adventures and Advancement: Once you’ve collected a few trophies from your hunts, people start offering you
money in exchange for help against the subterranean monsters plaguing their
communities. After a few such bounties, you gain the free service of up to 4
scouts (or scout variants). You can ask them to adventure with you or dispatch
them to gather information on distant areas. | Connection and Memento: Roll 1d10, choose, or make up your own.


DEEP HUNTER CONNECTIONS

 1.  The hunter that saved your life.
 2.  The rival hunter that pursues the same beast.
 3.  The rival hunter that took credit for your kill and branded you a liar.
 4.  The intelligent monster that mocks you every time it escapes your grasp.
 5.  The community or family that depends on you.
 6.  The city alchemist that pays well for your trophies.
 7.  A community of fey, deep gnome, or shadow elves that owe you their lives.
 8.  A monster you have befriended and sworn to protect.
 9.  The surface world ruler from whom you’re hiding.
 10. The monster that hunts you.


DEEP HUNTER MEMENTOS

 1.  A prized bow string, arrow, whetstone, or other piece of equipment that has
     never let you down.
 2.  A locket containing the picture of a subterranean monster’s victim.
 3.  An astonishing assortment of unusual jerkies.
 4.  A scar from the monster that got away.
 5.  Clothing bedecked with a dozen grisly trophies.
 6.  A lucky coin you flip when you’re not sure of the way forward.
 7.  The broken horn or tooth that nearly killed you.
 8.  A talking monster skull (you hear it talking, anyway).
 9.  A copper coin taken from a cavern filled with riches; you stumbled across
     the cavern while lost and have never found your way back.
 10. A journal detailing your attempts to find a navigable passage to the
     Midnight Sea. | Deep Lore: You always have a sense of how deep you are and which direction is north,
provided that you’ve traveled in these regions before. You are also generally
aware of the physical and political geography of the region (e.g., “the old
dwarf colony is this way and those tunnels are part of the wererat pack’s
hunting grounds”). You know where relatively safe places to camp are located and
you can usually find fresh sources of water. | Skill Proficiencies: Survival, and either Nature or Stealth. | Suggested Equipment: chalk, traveler’s clothes, 2 hunting traps | Tool Proficiencies: Leatherworker’s tools."
"Dungeon Robber","Ability Score Increase: +1 to Intelligence and one other ability score. | Adventures and Advancement: As you build your reputation, shady people approach you with requests to
“discover” items of uncertain ownership. After enough successes, a legitimate
organization, such as a wizard’s college or esteemed museum, takes an interest
in you. They offer you a position, which comes with funding granting a Wealthy
lifestyle, access to free spellcasting services, and legal representation when
you inevitably run afoul of the law. | Connection and Memento: Roll d10, choose, or make up your own.


DUNGEON ROBBER CONNECTIONS

 1.  A rival who always tries to steal what you rightfully find.
 2.  A rival who seeks powerful artifacts for evil ends.
 3.  A fence who can find a buyer for anything.
 4.  An underworld figure to whom you owe a staggering debt.
 5.  A master forger who can replicate plausible records of ownership,
     permissions to restricted areas, and so on.
 6.  An artist who can make perfect copies of artwork and paintings.
 7.  A collector who sends you after valuable curios.
 8.  Authorities who would like to question you about a relic’s mysterious
     disappearance.
 9.  An admiring urchin who can get you anywhere in their city.
 10. A rambling sage whose bizarre, shocking theories you half believe.


DUNGEON ROBBER MEMENTOS

 1.  A mysterious idol whose origin you seek.
 2.  A cultural item from equipment.
 3.  A treasure map with no obvious connection to any known land mass.
 4.  An ancient piece of machinery that is undoubtedly very powerful, although
     all it currently does is light up.
 5.  A rare book that grants an expertise die on checks related to a specific
     civilization.
 6.  A gold coin bearing the face of a king who never existed.
 7.  Identification papers from the institution that has kicked you out.
 8.  A tablet carved with indecipherable glyphs.
 9.  A giant-sized key to an unknown door.
 10. One piece of a seven-part artifact. | Languages: Any six (three of them no longer spoken). | Skill Proficiencies: History, and either Investigation or Religion. | Suggested Equipment: Cartographers’ tools, miner’s pick, traveler’s clothes, shovel. | Tool Proficiencies: Cartographers’ tools. | Unreliable Intelligence: You know conspiracy theorists, armchair historians, disgraced academics, and
other people with useful, if unreliable, knowledge. While in a city, once per
day you can find an NPC who can make an Intelligence check with a +10 bonus to
recall a fact. When you do so, the Narrator secretly rolls a d6. On a 1, your
contact’s information is dangerously inaccurate."
"Escapee from Below","Ability Score Increase: +1 to Constitution and one other ability score. | Adventures and Advancement: You find yourself drawn to the lands you once escaped. When you return there,
you may have an opportunity to right wrongs or take revenge for past injuries.
When you do, other escapees may look to you for leadership. | Alien Culture: Your prolonged captivity has granted you insight into the culture that kept you.
You understand their customs, traditions, religion, political ties, and to some
extent how they think. You are regarded as an expert in this culture and can
usually recall some useful detail when you and your companions face a challenge
involving this culture. | Connection and Memento: Roll d10, choose, or make up your own.


ESCAPEE FROM BELOW CONNECTIONS

 1.  The friend and fellow escapee from whom you were separated.
 2.  The family members who remain in captivity.
 3.  The cruel overseer who tortured you.
 4.  Members of an Underland resistance movement.
 5.  An evil commando squad that hunts escapees.
 6.  The kindly merchant who took you in when you first reached the surface.
 7.  A fellow prisoner, still in captivity, who claimed to be an heir to
     royalty.
 8.  The prominent merchant or politician you saw making deals with evil
     creatures in the Underland.
 9.  A mighty Underland creature with ambitions to conquer the surface world.
 10. A ship captain who sails the Midnight Sea.


ESCAPEE FROM BELOW MEMENTOS

 1.  A partial map of your escape route.
 2.  Broken shackles or chains.
 3.  A precious heirloom, still hidden somewhere in Underland.
 4.  A delicious recipe (which no one would eat if they knew the ingredients).
 5.  A compass that points back where you came.
 6.  Twelve days worth of rations (dried mushrooms).
 7.  A tattoo that conceals the hidden routes and passwords you used to gain
     your freedom.
 8.  A trophy taken from the guard you overcame.
 9.  A strange board game or toy designed for hands with too many fingers.
 10. A telepathic rat or other unusual pet. | Skill Proficiencies: Stealth, and either Perception or Survival. | Suggested Equipment: Common clothes, thieves’ tools. | Tool Proficiencies: Thieves’ tools."
"Imposter","Ability Score Increase: +1 to Charisma and one other ability score. | Adventures and Advancement: Each of your double’s former acquaintances must be won over, until they like you
more than they did your original. Even once that’s accomplished, you won’t truly
be free of your past until you have reckoned with it. When evidence of your true
nature surfaces—or when the person you are impersonating reappears—you must
triumph in the court of public opinion. Once you have done so, you will have
permanent, legal access to your former self’s belongings, inheritance rights,
and so on. | Connection and Memento: Roll d10, choose, or make up your own.


IMPOSTER CONNECTIONS

 1.  The accomplice who knows your secret and helps you for their own reasons.
 2.  The spouse or lover of your other self, whom you must win over.
 3.  The enemy of your other self, whose hatred you inherit.
 4.  Your other self’s rich or noble relative, from whom you may inherit a
     fortune.
 5.  Your crooked former partner, who still searches for you, unaware of your
     new identity.
 6.  The Underland compatriot who knew both you and the person whose identity
     you stole.
 7.  The suspicious priest who noticed a change in your personality.
 8.  An acquaintance whose “inside joke” you pretend to understand.
 9.  The family pet that doesn’t recognize you.
 10. The person you left behind when you abandoned your old life.


IMPOSTER MEMENTOS

 1.  The precious diary containing your original self’s secrets.
 2.  The locket or signet ring that proves your identity.
 3.  The scar that matches the one your original self had.
 4.  An anonymous blackmail letter.
 5.  An item that proves your real identity, which you keep hidden.
 6.  The fingerbone that whispers hints to you at opportune times.
 7.  The heirloom weapon you fraudulently wield.
 8.  Your trusty hat of disguise.
 9.  Your trusty ring of mind shielding.
 10. The implements (useless to you) of your original self’s magical training. | Cover Story: Whenever you struggle to maintain the masquerade that you are who you say, a
surprising number of people are willing to help you through your “lapses of
memory.” They might be deluding themselves, or perhaps they know your secret but
provide you cover for reasons of their own. So long as you don’t act completely
out of character or get caught in an outrageous lie, you can usually find
someone willing to cover for you. This cover most commonly takes he form of
excuses for your strange behavior. | Skill Proficiencies: Deception, and either Perception or Survival. | Suggested Equipment: Common clothes, disguise kit. | Tool Proficiencies: Disguise kit."
