name,description,traits
"Dwarf Chassis","The original dwarven gearforged engineers valued function over form, eschewing aesthetics in favor of instilling their chassis with toughness and strength. The chassis' metal face is clearly crafted to look dwarven, but its countenance is entirely unactuated and forged of a dark metal—often brass—sometimes with a lighter-colored mane of hair and a braided beard and mustaches made of fine metal strands. The gearforged's eyes glow a dark turquoise, staring dispassionately with a seemingly blank expression. Armor and helms worn by the gearforged are often styled to appear as if they were integrated into its chassis, making it all-but-impossible to tell where the armor ends and the gearforged begins.","Ability Score Increase: Your Constitution score increases by 1. | Always Armed: Every dwarf knows that it's better to leave home without pants than without your
weapon. Choose a weapon with which you are proficient and that doesn't have the
two-handed property. You can integrate this weapon into one of your arms. While
the weapon is integrated, you can't be disarmed of it by any means, though you
can use an action to remove the weapon. You can draw or sheathe the weapon as
normal, the weapon folding into or springing from your arm instead of a sheath.
While the integrated weapon is drawn in this way, it is considered held in that
arm's hand, which can't be used for other actions such as casting spells. You
can integrate a new weapon or replace an integrated weapon as part of a short or
long rest. You can have up to two weapons integrated at a time, one per arm. You
have advantage on Dexterity (Sleight of Hand) checks to conceal an integrated
weapon. | Remembered Training: You remember some of your combat training from your previous life. You have
proficiency with two martial weapons of your choice and with light and medium
armor."
"Dwarf Heritage","Your darakhul character was a dwarf before transforming into a darakhul. The hum of the earth, the tranquility of the stone and the dust, drained from you as the darakhul fever overwhelmed your once-resilient body. The stone is still there, but its touch has gone from a welcome embrace to a cold grip of death. But it's all the same to you now.","Ability Score Increase: Your Wisdon score increases by 2. | Dwarven Stoutness: Your hit point maximum increases by 1, and it increases by 1 every time you gain
a level."
"Elf/Shadow Fey Heritage","Your darakhul character was an elf or shadow fey (see Midgard Heroes Handbook) before transforming into a darakhul. The deathly power coursing through you reminds you of the lithe beauty and magic of your former body. If you just use your imagination, the blood tastes like wine once did. The smell of rotting flesh has the bouquet of wildflowers. The moss beneath the surface feels like the leaves of the forest.","Ability Score Increase: Your Dexterity score increases by 2. | Supernatural Senses: Your keen elven senses are honed even more by the power of undeath and the
hunger within you. You can now smell when blood is in the air. You have
proficiency in the Perception skill, and you have advantage on Wisdom
(Perception) checks to notice or find a creature within 30 feet of you that
doesn't have all of its hit points."
"Far-Touched","You grew up firmly ensconced in the mad traditions of the derro, your mind touched by the raw majesty and power of your society's otherworldly deities. Your abilities in other areas have made you more than a typical derro, of course. But no matter how well-trained and skilled you get in other magical or martial arts, the voices of your gods forever reverberate in your ears, driving you forward to do great or terrible things.","Ability Score Increase: Your Charisma score increases by 1. | Insanity: You have advantage on saving throws against being charmed or frightened. In
addition, you can read and understand Void Speech, but you can speak only a few
words of the dangerous and maddening language—the words necessary for using the
spells in your Mad Fervor trait. | Mad Fervor: The driving force behind your insanity has blessed you with a measure of its
power. You know the vicious mockery cantrip. When you reach 3rd level, you can
cast the enthrall spell with this trait, and starting at 5th level, you can cast
the fear spell with it. Once you cast a non-cantrip spell with this trait, you
can't do so again until you finish a long rest. Charisma is your spellcasting
ability for these spells. If you are using Deep Magic for 5th Edition, these
spells are instead crushing curse, maddening whispers, and alone, respectively."
"Favored","A few special mushroomfolk grow to become shamans, generals, and other types of leaders. Your spores invite cooperation, peace, and healing among your allies. Others look to you for guidance and succor in the harsh underground environs.","Ability Score Increase: Your Charisma score increases by 1. | Blessed Help: Your intuition and connection to your allies allows you to assist and protect
them. You know the spare the dying cantrip. When you reach 3rd level, you can
cast the bless spell once with this trait and regain the ability to do so when
you finish a long rest. Charisma is your spellcasting ability for these spells. | Clan Leader: You have proficiency in the Persuasion skill. | Restful Spores: If you or any friendly creatures within 30 feet of you regain hit points at the
end of a short rest by spending one or more Hit Dice, each of those creatures
regains additional hit points equal to your proficiency bonus. Once a creature
benefits from your restful spores, it can't do so again until it finishes a long
rest."
"Fever-Bit","You were once a typical drow, then you fell victim to the ravaging claws and teeth of a darakhul. The deadly darakhul fever almost took your life, but, when you were on the verge of succumbing, you rallied and survived. You were changed, however, in ways that even the greatest healers of your people can't fathom. But now that you are immune to darakhul fever, your commanders have a job for you.","Ability Score Increase: Your Constitution score increases by 1. | Deathly Resilience: Your long exposure to the life-sapping energies of darakhul fever has made you
more resilient. You have resistance to necrotic damage, and advantage on death
saving throws. | Iron Constitution: You are immune to disease. | Near-Death Experience: Your brush with death has made you more stalwart in the face of danger. You have
advantage on saving throws against being frightened."
"Gnome Chassis","Crafted for both exceptional functionality and aesthetic beauty, a gnome chassis' skin is clearly metallic but is meticulously colored to closely match gnomish skin tones, except at the joints, where gears and darker steel pistons are visible. Gnome chassis are almost always bald, with elaborate artistic patterns painted or etched on the face and skull in lieu of hair. Their eyes are vivid and lifelike, as is the chassis' gnomish face, which has a sculpted metal nose and articulated mouth and jaw. The gnome artisans who pioneered the first gearforged chassis saw it as an opportunity to not merely build a better body but to make it a work of art.","Ability Score Increase: Your Intelligence score increases by 1. | Mental Fortitude: When creating their first gearforged, gnome engineers put their efforts toward
ensuring that the gnomish mind remained a mental fortress, though they were
unable to fully replicate the gnomish mind's resilience once transferred to a
soul gem. Choose Intelligence, Wisdom, or Charisma. You have advantage on saving
throws made with that ability score against magic. | Quick Fix: When you are below half your hit point maximum, you can use a bonus action to
apply a quick patch up to your damaged body. You gain temporary hit points equal
to your proficiency bonus. You can't use this trait again until you finish a
short or long rest."
"Gnome Heritage","Your darakhul character was a gnome before transforming into a darakhul. The spark of magic that drove you before your transformation still burns inside of you, but now it is a constant ache instead of a source of creation and inspiration. This ache is twisted by your hunger, making you hunger for magic itself.","Ability Score Increase: Your Intelligence score increases by 2. | Magical Hunger: When a creature you can see within 30 feet of you casts a spell, you can use
your reaction to consume the spell's residual magic. Your consumption doesn't
counter or otherwise affect the spell or the spellcaster. When you consume this
residual magic, you gain temporary hit points (minimum of 1) equal to your
Constitution modifier, and you can't use this trait again until you finish a
short or long rest."
"Halfling Heritage","Your darakhul character was a halfling before transforming into a darakhul. Everything you loved as a halfling—food, drink, exploration, adventure— still drives you in your undead form; it is simply a more ghoulish form of those pleasures now: raw flesh instead of stew, warm blood instead of cold mead. You still want to explore the dark corners of the world, but now you seek something different.","Ability Score Increase: Your Dexterity score increases by 2. | Ill Fortune: Your uncanny halfling luck has taken a dark turn since your conversion to an
undead creature. When a creature rolls a 20 on the d20 for an attack roll
against you, the creature must reroll the attack and use the new roll. If the
second attack roll misses you, the attacking creature takes necrotic damage
equal to twice your Constitution modifier (minimum of 2)."
"Human Chassis","As humans invented the first gearforged, it should be no surprise that the human chassis remains the one that is most frequently encountered. However, it would be a mistake to assume that simply because the original chassis is more commonplace that there is anything common about them. While dwarves, gnomes, and kobolds have made clever additions and changes to the base model, the human chassis remains extremely versatile and is battle-proven.","Ability Score Increase: One ability score of your choice increases by 1. | Adaptable Acumen: You gain proficiency in two skills or tools of your choice. Choose one of those
skills or tools or another skill or tool proficiency you have. Your proficiency
bonus is doubled for any ability check you make that uses the chosen skill or
tool. | Inspired Ingenuity: When you roll a 9 or lower on the d20 for an ability check, you can use a
reaction to change the roll to a 10. You can't use this trait again until you
finish a short or long rest."
"Human/Half-Elf Heritage","Your darakhul character was a human or half-elf before transforming into a darakhul. Where there was once light there is now darkness. Where there was once love there is now hunger. You know if the darkness and hunger become all-consuming, you are truly lost. But the powers of your new form are strangely comfortable. How much of your old self is still there, and what can this new form give you that your old one couldn't?","Ability Score Increase: One ability score of your choice, other than Constitution, increases by 2. | Versatility: The training and experience of your early years was not lost when you became a
darakhul. You have proficiency in two skills and one tool of your choice."
"Kobold Chassis","Kobolds are naturally curious tinkerers, constantly modifying their devices and tools. As such, kobolds, in spite of what many dwarf or gnome engineers might say, were the second race to master the nuances of gearforged creation after studying human gearforged. However, most of these early kobold gearforged no longer exist, as the more draconic forms (homages to the kobolds' draconic masters) proved too alien to the kobold soul gems to maintain stable, long-term connections with the bodies. Kobold engineers have since resolved that problem, and kobold gearforged can be found among many kobold communities, aiding its members and tinkering right alongside their scale-and-blood brethren.","Ability Score Increase: Your Dexterity score increases by 1. | Clutch Aide: Kobolds spend their lives alongside their clutchmates, both those hatched around
the same time as them and those they choose later in life, and you retain much
of this group-oriented intuition. You can take the Help action as a bonus
action. | Resourceful: If you have at least one set of tools, you can cobble together one set of
makeshift tools of a different type with 1 minute of work. For example, if you
have cook's utensils, you can use them to create a temporary set of thieves'
tools. The makeshift tools last for 10 minutes then collapse into their
component parts, returning your tools to their normal forms. While the makeshift
tools exist, you can't use the set of tools you used to create the makeshift
tools. At the GM's discretion, you might not be able to replicate some tools,
such as an alchemist's alembic or a disguise kit's cosmetics. A creature other
than you that uses the makeshift tools has disadvantage on the check."
"Kobold Heritage","Your darakhul character was a kobold before transforming into a darakhul. The dark, although it was often your home, generally held terrors that you needed to survive. Now you are the dark, and its pull on your soul is strong. You fight to keep a grip on the intellect and cunning that sustained you in your past life. Sometimes it is easy, but often the driving hunger inside you makes it hard to think as clearly as you once did.","Ability Score Increase: Your Intelligence score increases by 2. | Devious Bite: When you hit a creature with your bite attack and you have advantage on the
attack roll, your bite deals an extra 1d4 piercing damage."
"Malkin","It's often said curiosity killed the cat, and this applies with equal frequency to catfolk. As a malkin catfolk you are adept at finding clever solutions to escape difficult situations, even (or perhaps especially) situations of your own making. Your diminutive size also gives you an uncanny nimbleness that helps you avoid the worst consequences of your intense inquisitiveness. Most often found in densely populated regions, these catfolk are as curious about the comings and goings of other humanoids as they are about natural or magical phenomena and artifacts. While malkins are sometimes referred to as \"housecats\" by other humanoids and even by other catfolk, doing so in a malkin's hearing is a surefire way to get a face full of claws…","Ability Score Increase: Your Intelligence score increases by 1. | Curiously Clever: You have proficiency in the Investigation skill. | Charmed Curiosity: When you roll a 1 on the d20 for a Dexterity check or saving throw, you can
reroll the die and must use the new roll."
"Morel","Your specialty for your clan was acting as a scout and a wayfinder. Your abilities to avoid problems and locate new sources of food for your clan was instrumental in their survival, and your interactions with other clans helped keep your people alive and well.","Ability Score Increase: Your Dexterity score increases by 1. | Adaptable Camouflage: If you spend at least 1 minute in an environment with ample naturally occurring
plants or fungi, such as a grassland, a forest, or an underground fungal cavern,
you can adjust your natural coloration to blend in with the local plant life. If
you do so, you have advantage on Dexterity (Stealth) checks for the next 24
hours while in that environment. | Clan Scout: You have proficiency in the Stealth skill."
"Mutated","Most derro go through the process of indoctrination into their society and come out of it with visions and delusion, paranoia and mania. You, on the other hand, were not affected as much mentally as you were physically. The connection to the dark deities of your people made you stronger and gave you a physical manifestation of their gift that other derro look upon with envy and awe.","Ability Score Increase: Your Strength score increases by 1. | Athletic Training: You have proficiency in the Athletics skill, and you are proficient with two
martial weapons of your choice. | Otherworldly Influence: Your close connection to the strange powers that your people worship has mutated
your form. Choose one of the following:

Alien Appendage. You have a tentacle-like growth on your body. This tentacle is
a natural melee weapon, which you can use to make unarmed strikes. When you hit
with it, your tentacle deals bludgeoning damage equal to 1d4 + your Strength
modifier, instead of the bludgeoning damage normal for an unarmed strike. This
tentacle has a reach of 5 feet and can lift a number of pounds equal to double
your Strength score. The tentacle can't wield weapons or shields or perform
tasks that require manual precision, such as performing the somatic components
of a spell, but it can perform simple tasks, such as opening an unlocked door or
container, stowing or retrieving an object, or pouring the contents out of a
vial. Tainted Blood. Your blood is tainted by your connection with otherworldly
entities. When you take piercing or slashing damage, you can use your reaction
to force your blood to spray out of the wound. You and each creature within 5
feet of you take necrotic damage equal to your level. Once you use this trait,
you can't use it again until you finish a short or long rest. Tenebrous Flesh.
Your skin is rubbery and tenebrous, granting you a +1 bonus to your Armor Class."
"Pantheran","Pantheran catfolk are a wise, observant, and patient people who pride themselves on being resourceful and self-sufficient. Less social than many others of their kind, these catfolk typically dwell in small, close-knit family groups in the forests, jungles, and grasslands of the world, away from larger population centers or cities. Their family clans teach the importance of living off of and protecting the natural world, and pantherans act swiftly and mercilessly when their forest homes are threatened by outside forces. Conversely, pantherans can be the most fierce and loyal of neighbors to villages who respect nature and who take from the land and forest no more than they need. As a pantheran, you value nature and kinship, and your allies know they can count on your wisdom and, when necessary, your claws.","Ability Score Increase: Your Wisdom score increases by 1. | Hunter's Charge: Once per turn, if you move at least 10 feet toward a target and hit it with a
melee weapon attack in the same turn, you can use a bonus action to attack that
creature with your Cat's Claws. You can use this trait a number of times per day
equal to your proficiency bonus, and you regain all expended uses when you
finish a long rest. | One With the Wilds: You have proficiency in one of the following skills of your choice: Insight,
Medicine, Nature, or Survival."
"Purified","You were born into the caste that produces the leaders and planners, the priests and wizards, the generals and officers of drow society. Your people, it is believed, were tested by the beneficent powers you worship, and you passed those tests to become something more. Your innate magic proves your superiority over your fellows.","Ability Score Increase: Your Charisma score increases by 1. | Innate Spellcasting: You know the poison spray cantrip. When you reach 3rd level, you can cast
suggestion once with this trait and regain the ability to do so when you finish
a long rest. When you reach 5th level, you can cast the tongues spell once and
regain the ability to do so when you finish a long rest. Intelligence is your
spellcasting ability for these spells. | Born Leader: You gain proficiency with two of the following skills of your choice: History,
Insight, Performance, and Persuasion."
"Ravenfolk","Your darakhul character was a ravenfolk (see Midgard Heroes Handbook) before transforming into a darakhul. Your new form feels different. It is more powerful and less fidgety, and your beak has become razor sharp. There is still room for trickery, of course. But with your new life comes a disconnection from the All Father. Does this loss gnaw at you like your new hunger or do you feel freed from the destiny of your people?","Ability Score Increase: Your Dexterity score increases by 2. | Sudden Bite and Flight: If you surprise a creature during the first round of combat, you can make a bite
attack as a bonus action. If it hits, you can immediately take the Dodge action
as a reaction."
"Tiefling Heritage","Your darakhul character was a tiefling before transforming into a darakhul. You are no stranger to the pull of powerful forces raging through your blood. You have traded one dark pull for another, and this one seems much stronger. Is that a good feeling, or do you miss your old one?","Ability Score Increase: Your Charisma score increases by 1. | Necrotic Rebuke: When you are hit by a weapon attack, you can use a reaction to envelop the
attacker in shadowy flames. The attacker takes necrotic damage equal to your
Charisma modifier (minimum of 1), and it has disadvantage on attack rolls until
the end of its next turn. You must finish a long rest before you can use this
feature again."
"Trollkin Heritage","Your darakhul character was a trollkin (see Midgard Heroes Handbook) before transforming into a darakhul. Others saw you as a monster because of your ancestry. You became inured to the fearful looks and hurried exits of those around you. If only they could see you now. Does your new state make you seek revenge on them, or are you able to maintain your self-control despite the new urges you feel?","Ability Score Increase: Your Strength score increases by 2. | Regenerative Bite: The regenerative powers of your trollkin heritage are less potent than they were
in life and need a little help. As an action, you can make a bite attack against
a creature that isn't undead or a construct. On a hit, you regain hit points
(minimum of 1) equal to half the amount of damage dealt. Once you use this
trait, you can't use it again until you finish a long rest."
"Uncorrupted","Someone in your past failed to do their job of driving you to the brink of insanity. It might have been a doting parent that decided to buck tradition. It might have been a touched seer who had visions of your future without the connections to the mad gods your people serve. It might have been a whole outcast community of derro rebels who refused to serve the madness of your ancestors. Whatever happened in your past, you are quite sane—or at least quite sane for a derro.","Ability Score Increase: Your Wisdom score increases by 1. | Psychic Barrier: Your time among your less sane brethren has inured you to their madness. You
have resistance to psychic damage, and you have advantage on ability checks and
saving throws made against effects that inflict insanity, such as spells like
contact other plane and symbol, and effects that cause short-term, long-term, or
indefinite madness. | Studied Insight: You are skilled at discerning other creature's motives and intentions. You have
proficiency in the Insight skill, and, if you study a creature for at least 1
minute, you have advantage on any initiative checks in combat against that
creature for the next hour."
